DATE,Y13,Y35,Y57,Y710,Y1015
1996-12-31,6.38,6.67,6.88,7.04,7.2
1997-01-01,NaN,NaN,NaN,NaN,NaN
1997-01-02,6.46,6.75,6.97,7.14,7.3
1997-01-03,6.45,6.73,6.95,7.12,7.28
1997-01-06,6.45,6.74,6.97,7.15,7.32
1997-01-07,6.46,6.76,6.99,7.16,7.34
1997-01-08,6.48,6.79,7.02,7.17,7.36
1997-01-09,6.43,6.72,6.95,7.12,7.28
1997-01-10,6.54,6.83,7.06,7.24,7.39
1997-01-13,6.54,6.84,7.06,7.21,7.39
1997-01-14,6.46,6.75,6.97,7.13,7.29
1997-01-15,6.45,6.74,6.96,7.12,7.28
1997-01-16,6.49,6.78,7,7.15,7.34
1997-01-17,6.47,6.76,6.98,7.14,7.32
1997-01-20,6.47,6.76,6.98,7.14,7.32
1997-01-21,6.45,6.73,6.95,7.1,7.27
1997-01-22,6.47,6.75,6.97,7.13,7.32
1997-01-23,6.5,6.79,7.01,7.17,7.35
1997-01-24,6.51,6.82,7.04,7.21,7.4
1997-01-27,6.54,6.86,7.09,7.26,7.45
1997-01-28,6.49,6.81,7.04,7.21,7.4
1997-01-29,6.48,6.81,7.03,7.2,7.39
1997-01-30,6.46,6.78,7.01,7.18,7.37
1997-01-31,6.4,6.71,6.93,7.11,7.27
1997-02-03,6.34,6.64,6.87,7.04,7.19
1997-02-04,6.33,6.63,6.85,7.03,7.17
1997-02-05,6.35,6.65,6.87,7.05,7.2
1997-02-06,6.36,6.65,6.88,7.06,7.21
1997-02-07,6.31,6.6,6.82,7,7.17
1997-02-10,6.31,6.6,6.82,7,7.13
1997-02-11,6.31,6.6,6.82,7,7.14
1997-02-12,6.33,6.61,6.83,7.01,7.16
1997-02-13,6.28,6.55,6.75,6.91,7.08
1997-02-14,6.23,6.49,6.7,6.85,7.02
1997-02-17,NaN,NaN,NaN,NaN,NaN
1997-02-18,6.23,6.5,6.71,6.86,7.03
1997-02-19,6.25,6.52,6.73,6.88,7.05
1997-02-20,6.28,6.57,6.79,6.95,7.12
1997-02-21,6.28,6.56,6.79,6.95,7.11
1997-02-24,6.3,6.59,6.81,6.97,7.14
1997-02-25,6.32,6.6,6.82,6.98,7.14
1997-02-26,6.46,6.78,6.99,7.13,7.31
1997-02-27,6.49,6.8,7,7.15,7.32
1997-02-28,6.53,6.81,7.02,7.15,7.31
1997-03-03,6.54,6.81,7.02,7.16,7.32
1997-03-04,6.55,6.83,7.05,7.19,7.35
1997-03-05,6.55,6.83,7.05,7.19,7.34
1997-03-06,6.57,6.86,7.07,7.21,7.37
1997-03-07,6.53,6.8,7.02,7.15,7.31
1997-03-10,6.53,6.81,7.03,7.15,7.31
1997-03-11,6.52,6.8,7.02,7.16,7.32
1997-03-12,6.55,6.84,7.06,7.19,7.35
1997-03-13,6.64,6.95,7.17,7.31,7.48
1997-03-14,6.6,6.92,7.15,7.3,7.46
1997-03-17,6.63,6.94,7.17,7.31,7.47
1997-03-18,6.63,6.94,7.17,7.31,7.48
1997-03-19,6.63,6.97,7.19,7.33,7.5
1997-03-20,6.66,7,7.21,7.34,7.5
1997-03-21,6.68,7.01,7.21,7.34,7.5
1997-03-24,6.67,6.98,7.18,7.31,7.48
1997-03-25,6.71,7.02,7.23,7.34,7.51
1997-03-26,6.74,7.06,7.27,7.39,7.56
1997-03-27,6.82,7.16,7.37,7.51,7.68
1997-03-28,NaN,NaN,NaN,NaN,NaN
1997-03-31,6.86,7.18,7.38,7.52,7.69
1997-04-01,6.81,7.15,7.35,7.5,7.66
1997-04-02,6.82,7.14,7.34,7.48,7.65
1997-04-03,6.81,7.13,7.33,7.48,7.64
1997-04-04,6.85,7.19,7.39,7.54,7.7
1997-04-07,6.81,7.14,7.34,7.48,7.65
1997-04-08,6.84,7.17,7.37,7.51,7.68
1997-04-09,6.84,7.18,7.37,7.52,7.68
1997-04-10,6.85,7.19,7.38,7.52,7.68
1997-04-11,6.91,7.26,7.46,7.59,7.76
1997-04-14,6.93,7.28,7.46,7.59,7.76
1997-04-15,6.85,7.17,7.35,7.49,7.65
1997-04-16,6.87,7.2,7.38,7.51,7.66
1997-04-17,6.83,7.15,7.33,7.47,7.62
1997-04-18,6.8,7.12,7.31,7.45,7.6
1997-04-21,6.82,7.16,7.34,7.48,7.63
1997-04-22,6.81,7.13,7.32,7.44,7.6
1997-04-23,6.84,7.17,7.36,7.5,7.64
1997-04-24,6.88,7.22,7.41,7.54,7.69
1997-04-25,6.89,7.23,7.42,7.56,7.71
1997-04-28,6.87,7.21,7.39,7.53,7.68
1997-04-29,6.71,7.04,7.24,7.39,7.53
1997-04-30,6.69,6.99,7.2,7.34,7.48
1997-05-01,6.68,6.97,7.17,7.32,7.46
1997-05-02,6.67,6.95,7.15,7.29,7.43
1997-05-05,6.67,6.97,7.17,7.29,7.43
1997-05-06,6.69,6.98,7.17,7.29,7.42
1997-05-07,6.75,7.04,7.23,7.37,7.51
1997-05-08,6.71,7,7.19,7.38,7.53
1997-05-09,6.65,6.93,7.13,7.29,7.43
1997-05-12,6.62,6.91,7.11,7.28,7.41
1997-05-13,6.67,6.97,7.18,7.33,7.48
1997-05-14,6.64,6.93,7.14,7.29,7.43
1997-05-15,6.63,6.92,7.13,7.28,7.43
1997-05-16,6.66,6.95,7.16,7.31,7.46
1997-05-19,6.67,6.97,7.17,7.32,7.47
1997-05-20,6.63,6.93,7.13,7.31,7.46
1997-05-21,6.64,6.96,7.17,7.34,7.49
1997-05-22,6.65,6.99,7.21,7.37,7.52
1997-05-23,6.64,6.97,7.19,7.35,7.5
1997-05-26,NaN,NaN,NaN,NaN,NaN
1997-05-27,6.68,7.02,7.22,7.4,7.55
1997-05-28,6.7,7.04,7.24,7.4,7.56
1997-05-29,6.67,6.99,7.21,7.35,7.5
1997-05-30,6.6,6.91,7.12,7.28,7.43
1997-05-31,6.61,6.93,7.13,7.3,7.44
1997-06-02,6.61,6.91,7.11,7.27,7.42
1997-06-03,6.59,6.88,7.08,7.24,7.38
1997-06-04,6.59,6.89,7.08,7.23,7.38
1997-06-05,6.59,6.89,7.08,7.23,7.37
1997-06-06,6.51,6.8,6.98,7.12,7.25
1997-06-09,6.55,6.84,7.03,7.16,7.3
1997-06-10,6.57,6.86,7.05,7.18,7.31
1997-06-11,6.57,6.86,7.04,7.17,7.3
1997-06-12,6.47,6.75,6.94,7.09,7.21
1997-06-13,6.43,6.71,6.9,7.05,7.15
1997-06-16,6.42,6.69,6.87,7.01,7.11
1997-06-17,6.45,6.72,6.9,7.04,7.14
1997-06-18,6.43,6.7,6.88,7.01,7.1
1997-06-19,6.43,6.7,6.88,7.01,7.1
1997-06-20,6.41,6.68,6.87,6.98,7.1
1997-06-23,6.43,6.71,6.89,7.01,7.11
1997-06-24,6.44,6.71,6.89,7.02,7.12
1997-06-25,6.45,6.73,6.92,7.06,7.16
1997-06-26,6.47,6.77,6.96,7.11,7.23
1997-06-27,6.45,6.75,6.94,7.07,7.18
1997-06-30,6.52,6.82,6.99,7.13,7.27
1997-07-01,6.48,6.77,6.94,7.07,7.19
1997-07-02,6.47,6.74,6.91,7.04,7.15
1997-07-03,6.39,6.65,6.81,6.92,7.06
1997-07-04,NaN,NaN,NaN,NaN,NaN
1997-07-07,6.34,6.6,6.77,6.88,7.01
1997-07-08,6.35,6.6,6.77,6.89,7.01
1997-07-09,6.33,6.57,6.74,6.86,6.98
1997-07-10,6.33,6.58,6.74,6.87,6.99
1997-07-11,6.33,6.56,6.73,6.85,6.96
1997-07-14,6.35,6.6,6.76,6.87,6.99
1997-07-15,6.36,6.59,6.75,6.87,6.99
1997-07-16,6.32,6.53,6.69,6.81,6.92
1997-07-17,6.31,6.53,6.7,6.81,6.92
1997-07-18,6.33,6.57,6.74,6.86,6.97
1997-07-21,6.36,6.6,6.76,6.88,7
1997-07-22,6.28,6.49,6.66,6.76,6.87
1997-07-23,6.27,6.49,6.64,6.76,6.86
1997-07-24,6.28,6.48,6.65,6.77,6.87
1997-07-25,6.28,6.5,6.67,6.79,6.9
1997-07-28,6.26,6.47,6.63,6.76,6.87
1997-07-29,6.21,6.42,6.6,6.72,6.81
1997-07-30,6.19,6.38,6.55,6.67,6.76
1997-07-31,6.17,6.36,6.5,6.64,6.72
1997-08-01,6.32,6.53,6.69,6.83,6.92
1997-08-04,6.34,6.56,6.72,6.85,6.94
1997-08-05,6.35,6.57,6.72,6.86,6.95
1997-08-06,6.35,6.57,6.72,6.86,6.95
1997-08-07,6.36,6.59,6.74,6.86,6.96
1997-08-08,6.44,6.68,6.84,7,7.08
1997-08-11,6.43,6.67,6.84,6.99,7.1
1997-08-12,6.44,6.7,6.88,7.02,7.1
1997-08-13,6.4,6.66,6.84,6.99,7.1
1997-08-14,6.35,6.6,6.78,6.9,7.01
1997-08-15,6.32,6.58,6.75,6.9,7
1997-08-18,6.27,6.52,6.71,6.85,6.94
1997-08-19,6.29,6.54,6.72,6.85,6.95
1997-08-20,6.33,6.57,6.75,6.88,6.98
1997-08-21,6.36,6.62,6.79,6.93,7.04
1997-08-22,6.39,6.66,6.85,7.01,7.09
1997-08-25,6.42,6.69,6.89,7.03,7.11
1997-08-26,6.41,6.69,6.87,7.02,7.1
1997-08-27,6.42,6.71,6.88,7.02,7.09
1997-08-28,6.36,6.64,6.8,6.93,7.04
1997-08-29,6.39,6.67,6.85,6.98,7.08
1997-08-31,6.41,6.67,6.86,6.99,7.09
1997-09-01,NaN,NaN,NaN,NaN,NaN
1997-09-02,6.38,6.63,6.82,6.94,7.05
1997-09-03,6.4,6.66,6.85,6.97,7.07
1997-09-04,6.41,6.66,6.85,6.97,7.08
1997-09-05,6.41,6.69,6.86,7,7.11
1997-09-08,6.41,6.69,6.86,6.98,7.08
1997-09-09,6.41,6.69,6.86,6.99,7.09
1997-09-10,6.43,6.71,6.88,7.02,7.08
1997-09-11,6.44,6.72,6.89,7.04,7.11
1997-09-12,6.37,6.63,6.8,6.94,7.04
1997-09-15,6.36,6.62,6.79,6.93,7.02
1997-09-16,6.25,6.47,6.63,6.76,6.84
1997-09-17,6.23,6.45,6.61,6.75,6.83
1997-09-18,6.26,6.48,6.64,6.77,6.84
1997-09-19,6.26,6.47,6.62,6.75,6.82
1997-09-22,6.23,6.45,6.6,6.72,6.78
1997-09-23,6.26,6.48,6.63,6.76,6.82
1997-09-24,6.23,6.44,6.58,6.71,6.77
1997-09-25,6.29,6.51,6.66,6.79,6.86
1997-09-26,6.25,6.47,6.61,6.75,6.81
1997-09-29,6.25,6.47,6.62,6.76,6.83
1997-09-30,6.24,6.48,6.48,6.77,6.85
1997-10-01,6.19,6.42,6.4,6.7,6.77
1997-10-02,6.18,6.4,6.37,6.67,6.73
1997-10-03,6.15,6.37,6.33,6.64,6.71
1997-10-06,6.12,6.34,6.3,6.62,6.7
1997-10-07,6.1,6.32,6.27,6.6,6.67
1997-10-08,6.2,6.44,6.42,6.73,6.81
1997-10-09,6.23,6.46,6.44,6.75,6.82
1997-10-10,6.28,6.52,6.71,6.82,6.88
1997-10-13,6.29,6.52,6.71,6.82,6.88
1997-10-14,6.24,6.46,6.44,6.73,6.8
1997-10-15,6.27,6.5,6.49,6.77,6.84
1997-10-16,6.27,6.5,6.47,6.76,6.83
1997-10-17,6.34,6.58,6.57,6.83,6.9
1997-10-20,6.33,6.56,6.55,6.81,6.88
1997-10-21,6.34,6.57,6.57,6.81,6.88
1997-10-22,6.34,6.56,6.55,6.79,6.86
1997-10-23,6.25,6.46,6.58,6.71,6.77
1997-10-24,6.23,6.43,6.55,6.68,6.73
1997-10-27,6.07,6.28,6.37,6.54,6.62
1997-10-28,6.19,6.42,6.56,6.69,6.74
1997-10-29,6.13,6.35,6.47,6.61,6.66
1997-10-30,6.1,6.3,6.41,6.56,6.6
1997-10-31,6.16,6.35,6.49,6.62,6.65
1997-11-03,6.23,6.44,6.58,6.71,6.74
1997-11-04,6.26,6.47,6.62,6.74,6.78
1997-11-05,6.27,6.48,6.62,6.74,6.78
1997-11-06,6.26,6.46,6.59,6.71,6.73
1997-11-07,6.26,6.46,6.59,6.71,6.74
1997-11-10,6.27,6.48,6.6,6.72,6.75
1997-11-11,6.27,6.47,6.6,6.71,6.74
1997-11-12,6.25,6.45,6.57,6.69,6.72
1997-11-13,6.24,6.44,6.57,6.68,6.7
1997-11-14,6.24,6.44,6.57,6.68,6.7
1997-11-17,6.24,6.44,6.58,6.67,6.69
1997-11-18,6.25,6.44,6.58,6.68,6.69
1997-11-19,6.24,6.42,6.55,6.65,6.66
1997-11-20,6.27,6.45,6.59,6.68,6.7
1997-11-21,6.22,6.41,6.55,6.66,6.68
1997-11-24,6.27,6.45,6.58,6.69,6.72
1997-11-25,6.3,6.47,6.59,6.68,6.71
1997-11-26,6.33,6.47,6.59,6.69,6.73
1997-11-27,6.33,6.47,6.59,6.69,6.73
1997-11-28,6.35,6.5,6.62,6.7,6.73
1997-11-30,6.35,6.51,6.63,6.7,6.72
1997-12-01,6.35,6.5,6.61,6.7,6.72
1997-12-02,6.35,6.5,6.6,6.69,6.71
1997-12-03,6.32,6.47,6.58,6.67,6.7
1997-12-04,6.3,6.46,6.57,6.67,6.73
1997-12-05,6.36,6.55,6.66,6.74,6.8
1997-12-08,6.4,6.59,6.7,6.78,6.84
1997-12-09,6.38,6.57,6.68,6.77,6.83
1997-12-10,6.32,6.51,6.63,6.73,6.79
1997-12-11,6.27,6.44,6.57,6.65,6.71
1997-12-12,6.23,6.4,6.51,6.57,6.63
1997-12-15,6.3,6.47,6.61,6.65,6.67
1997-12-16,6.29,6.44,6.57,6.64,6.65
1997-12-17,6.32,6.48,6.61,6.68,6.69
1997-12-18,6.29,6.44,6.56,6.63,6.64
1997-12-19,6.27,6.4,6.52,6.58,6.58
1997-12-22,6.32,6.44,6.57,6.6,6.6
1997-12-23,6.33,6.46,6.59,6.61,6.6
1997-12-24,6.33,6.46,6.6,6.64,6.63
1997-12-25,NaN,NaN,NaN,NaN,NaN
1997-12-26,6.33,6.47,6.58,6.64,6.62
1997-12-29,6.33,6.47,6.59,6.64,6.64
1997-12-30,6.34,6.5,6.62,6.69,6.68
1997-12-31,6.25,6.36,6.43,6.55,6.63
1998-01-01,NaN,NaN,NaN,NaN,NaN
1998-01-02,6.19,6.29,6.35,6.46,6.55
1998-01-05,6.07,6.13,6.18,6.32,6.4
1998-01-06,6.01,6.08,6.14,6.29,6.37
1998-01-07,6.03,6.11,6.19,6.34,6.43
1998-01-08,5.93,6.01,6.11,6.28,6.37
1998-01-09,5.81,5.89,6,6.2,6.29
1998-01-12,5.81,5.91,6.02,6.19,6.28
1998-01-13,5.87,5.96,6.07,6.23,6.32
1998-01-14,5.9,5.99,6.1,6.26,6.35
1998-01-15,5.9,6.01,6.12,6.29,6.38
1998-01-16,5.97,6.07,6.19,6.36,6.43
1998-01-19,5.96,6.07,6.19,6.35,6.43
1998-01-20,5.97,6.1,6.21,6.38,6.47
1998-01-21,5.95,6.07,6.18,6.36,6.44
1998-01-22,5.92,6.05,6.17,6.37,6.46
1998-01-23,6.01,6.16,6.29,6.5,6.6
1998-01-26,6,6.14,6.26,6.46,6.54
1998-01-27,6.06,6.2,6.32,6.51,6.61
1998-01-28,6.08,6.21,6.33,6.53,6.61
1998-01-29,5.98,6.11,6.22,6.41,6.49
1998-01-30,5.96,6.08,6.21,6.4,6.47
1998-01-31,5.94,6.07,6.22,6.38,6.47
1998-02-02,5.97,6.1,6.27,6.42,6.52
1998-02-03,5.95,6.09,6.25,6.41,6.5
1998-02-04,5.94,6.08,6.25,6.42,6.51
1998-02-05,5.97,6.12,6.3,6.47,6.55
1998-02-06,6,6.15,6.31,6.47,6.55
